Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Firefox 62.0,,2018-10-14 06:05:21,2018-10-14 06:06:19,58.059s,PASSED
,,,,,,
Test Cases/Main/Basic,Firefox 62.0,,2018-10-14 06:05:25,2018-10-14 06:06:19,53.509s,PASSED
Start listener action : beforeTestCase,Firefox 62.0,,2018-10-14 06:05:25,2018-10-14 06:05:25,0.069s,PASSED
Statement - mr = MATERIAL_REPOSITORY,Firefox 62.0,,2018-10-14 06:05:26,2018-10-14 06:05:26,0.004s,PASSED
Statement - assert mr != null,Firefox 62.0,,2018-10-14 06:05:26,2018-10-14 06:05:26,0.002s,PASSED
openBrowser,Firefox 62.0,,2018-10-14 06:05:26,2018-10-14 06:05:44,17.357s,PASSED
setViewPortSize,Firefox 62.0,,2018-10-14 06:05:44,2018-10-14 06:05:44,0.237s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 62.0,,2018-10-14 06:05:44,2018-10-14 06:05:44,0.090s,PASSED
"Statement - If (com.kms.katalon.core.configuration.RunConfiguration.getExecutionProfile() == ""develop"")",Firefox 62.0,,2018-10-14 06:05:44,2018-10-14 06:05:44,0.040s,PASSED
Statement - Else,Firefox 62.0,,2018-10-14 06:05:44,2018-10-14 06:05:50,5.563s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-14 06:05:50,2018-10-14 06:05:50,0.343s,PASSED
"Statement - png1 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Homepage.png"")",Firefox 62.0,,2018-10-14 06:05:50,2018-10-14 06:05:50,0.195s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-14 06:05:50,2018-10-14 06:05:56,5.423s,PASSED
callTestCase,Firefox 62.0,,2018-10-14 06:05:56,2018-10-14 06:06:03,6.809s,PASSED
selectOptionByValue,Firefox 62.0,,2018-10-14 06:06:03,2018-10-14 06:06:03,0.519s,PASSED
click,Firefox 62.0,,2018-10-14 06:06:03,2018-10-14 06:06:03,0.266s,PASSED
click,Firefox 62.0,,2018-10-14 06:06:03,2018-10-14 06:06:04,0.295s,PASSED
Statement - visitDate = java.time.LocalDateTime.now().plusWeeks(1),Firefox 62.0,,2018-10-14 06:06:04,2018-10-14 06:06:04,0.018s,PASSED
"Statement - visitDateStr = java.time.format.DateTimeFormatter.ofPattern(""dd/MM/yyyy"").format(visitDate)",Firefox 62.0,,2018-10-14 06:06:04,2018-10-14 06:06:04,0.001s,PASSED
setText,Firefox 62.0,,2018-10-14 06:06:04,2018-10-14 06:06:04,0.804s,PASSED
sendKeys,Firefox 62.0,,2018-10-14 06:06:04,2018-10-14 06:06:05,0.171s,PASSED
setText,Firefox 62.0,,2018-10-14 06:06:05,2018-10-14 06:06:05,0.177s,PASSED
"Statement - png3 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Appointment.png"")",Firefox 62.0,,2018-10-14 06:06:05,2018-10-14 06:06:05,0.009s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-14 06:06:05,2018-10-14 06:06:09,3.764s,PASSED
click,Firefox 62.0,,2018-10-14 06:06:09,2018-10-14 06:06:09,0.594s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-14 06:06:09,2018-10-14 06:06:09,0.062s,PASSED
Statement - facility = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_AppointmentConfirmation/p_facility)),Firefox 62.0,,2018-10-14 06:06:09,2018-10-14 06:06:09,0.127s,PASSED
verifyMatch,Firefox 62.0,,2018-10-14 06:06:09,2018-10-14 06:06:10,0.129s,PASSED
Statement - readmission = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_AppointmentConfirmation/p_hospital_readmission)),Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.164s,PASSED
verifyMatch,Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.004s,PASSED
Statement - program = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_AppointmentConfirmation/p_program)),Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.118s,PASSED
verifyMatch,Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.008s,PASSED
Statement - visitDateStr2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_AppointmentConfirmation/p_visit_date)),Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.064s,PASSED
verifyMatch,Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.010s,PASSED
"Statement - parsed = java.time.format.DateTimeFormatter.ofPattern(""dd/MM/uuuu"").parse(visitDateStr2)",Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.004s,PASSED
Statement - visitDate2 = java.time.LocalDate.from(parsed).atStartOfDay(),Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.024s,PASSED
Statement - isAfterNow = visitDate2.isAfter(java.time.LocalDateTime.now()),Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.018s,PASSED
verifyEqual,Firefox 62.0,,2018-10-14 06:06:10,2018-10-14 06:06:10,0.028s,PASSED
