Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Firefox 62.0,,2018-10-14 05:52:46,2018-10-14 05:53:28,41.600s,FAILED
,,,,,,
Test Cases/Main/Basic,Firefox 62.0,,2018-10-14 05:52:49,2018-10-14 05:53:28,38.688s,FAILED
Start listener action : beforeTestCase,Firefox 62.0,,2018-10-14 05:52:49,2018-10-14 05:52:49,0.049s,PASSED
Statement - mr = MATERIAL_REPOSITORY,Firefox 62.0,,2018-10-14 05:52:50,2018-10-14 05:52:50,0.002s,PASSED
Statement - assert mr != null,Firefox 62.0,,2018-10-14 05:52:50,2018-10-14 05:52:50,0.005s,PASSED
openBrowser,Firefox 62.0,,2018-10-14 05:52:50,2018-10-14 05:53:02,11.999s,PASSED
setViewPortSize,Firefox 62.0,,2018-10-14 05:53:02,2018-10-14 05:53:02,0.191s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 62.0,,2018-10-14 05:53:02,2018-10-14 05:53:02,0.034s,PASSED
"Statement - If (com.kms.katalon.core.configuration.RunConfiguration.getExecutionProfile() == ""develop"")",Firefox 62.0,,2018-10-14 05:53:02,2018-10-14 05:53:02,0.006s,PASSED
Statement - Else,Firefox 62.0,,2018-10-14 05:53:02,2018-10-14 05:53:09,6.804s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-14 05:53:09,2018-10-14 05:53:09,0.151s,PASSED
"Statement - png1 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Homepage.png"")",Firefox 62.0,,2018-10-14 05:53:09,2018-10-14 05:53:09,0.239s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-14 05:53:09,2018-10-14 05:53:15,5.371s,PASSED
callTestCase,Firefox 62.0,,2018-10-14 05:53:15,2018-10-14 05:53:21,6.251s,PASSED
selectOptionByValue,Firefox 62.0,,2018-10-14 05:53:21,2018-10-14 05:53:21,0.576s,PASSED
click,Firefox 62.0,,2018-10-14 05:53:21,2018-10-14 05:53:22,0.281s,PASSED
click,Firefox 62.0,,2018-10-14 05:53:22,2018-10-14 05:53:22,0.294s,PASSED
Statement - visitDate = java.time.LocalDateTime.now().plusWeeks(1),Firefox 62.0,,2018-10-14 05:53:22,2018-10-14 05:53:22,0.027s,PASSED
"Statement - visitDateStr = java.time.format.DateTimeFormatter.ofPattern(""dd/MM/yyyy"").format(visitDate)",Firefox 62.0,,2018-10-14 05:53:22,2018-10-14 05:53:22,0.003s,PASSED
setText,Firefox 62.0,,2018-10-14 05:53:22,2018-10-14 05:53:23,0.593s,PASSED
sendKeys,Firefox 62.0,,2018-10-14 05:53:23,2018-10-14 05:53:23,0.197s,PASSED
setText,Firefox 62.0,,2018-10-14 05:53:23,2018-10-14 05:53:23,0.238s,PASSED
"Statement - png3 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Appointment.png"")",Firefox 62.0,,2018-10-14 05:53:23,2018-10-14 05:53:23,0.008s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-14 05:53:23,2018-10-14 05:53:27,3.437s,PASSED
click,Firefox 62.0,,2018-10-14 05:53:27,2018-10-14 05:53:27,0.502s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-14 05:53:27,2018-10-14 05:53:27,0.073s,PASSED
