Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1,Firefox 62.0,,2018-10-03 06:45:57,2018-10-03 06:46:32,35.423s,PASSED
,,,,,,
Test Cases/Main/Basic,Firefox 62.0,,2018-10-03 06:45:58,2018-10-03 06:46:32,33.647s,PASSED
Start listener action : beforeTestCase,Firefox 62.0,,2018-10-03 06:45:58,2018-10-03 06:45:58,0.020s,PASSED
Statement - mr = MATERIAL_REPOSITORY,Firefox 62.0,,2018-10-03 06:45:59,2018-10-03 06:45:59,0.002s,PASSED
Statement - assert mr != null,Firefox 62.0,,2018-10-03 06:45:59,2018-10-03 06:45:59,0.001s,PASSED
openBrowser,Firefox 62.0,,2018-10-03 06:45:59,2018-10-03 06:46:05,6.496s,PASSED
setViewPortSize,Firefox 62.0,,2018-10-03 06:46:05,2018-10-03 06:46:07,2.130s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 62.0,,2018-10-03 06:46:07,2018-10-03 06:46:07,0.015s,PASSED
"Statement - If (com.kms.katalon.core.configuration.RunConfiguration.getExecutionProfile() == ""develop"")",Firefox 62.0,,2018-10-03 06:46:07,2018-10-03 06:46:07,0.002s,PASSED
Statement - Else,Firefox 62.0,,2018-10-03 06:46:07,2018-10-03 06:46:13,5.672s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-03 06:46:13,2018-10-03 06:46:13,0.297s,PASSED
"Statement - png1 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Homepage.png"")",Firefox 62.0,,2018-10-03 06:46:13,2018-10-03 06:46:13,0.017s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-03 06:46:13,2018-10-03 06:46:17,3.151s,PASSED
callTestCase,Firefox 62.0,,2018-10-03 06:46:17,2018-10-03 06:46:21,4.505s,PASSED
selectOptionByValue,Firefox 62.0,,2018-10-03 06:46:21,2018-10-03 06:46:21,0.398s,PASSED
click,Firefox 62.0,,2018-10-03 06:46:21,2018-10-03 06:46:22,0.244s,PASSED
click,Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:22,0.246s,PASSED
Statement - visitDate = java.time.LocalDateTime.now().plusWeeks(1),Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:22,0.013s,PASSED
"Statement - visitDateStr = java.time.format.DateTimeFormatter.ofPattern(""dd/MM/yyyy"").format(visitDate)",Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:22,0.002s,PASSED
setText,Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:22,0.290s,PASSED
sendKeys,Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:22,0.088s,PASSED
setText,Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:22,0.093s,PASSED
"Statement - png3 = mr.resolveMaterialPath(CURRENT_TESTCASE_ID, ""CURA_Appointment.png"")",Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:22,0.002s,PASSED
com.kazurayam.ksbackyard.ScreenshotDriver.takeEntirePage,Firefox 62.0,,2018-10-03 06:46:22,2018-10-03 06:46:25,2.988s,PASSED
click,Firefox 62.0,,2018-10-03 06:46:25,2018-10-03 06:46:26,0.519s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-03 06:46:26,2018-10-03 06:46:26,0.030s,PASSED
Statement - facility = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_AppointmentConfirmation/p_facility)),Firefox 62.0,,2018-10-03 06:46:26,2018-10-03 06:46:26,0.065s,PASSED
